arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
samtranslator/compat.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/feature_toggle/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/internal/deprecation_control.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/internal/types.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/internal/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/internal/model/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/internal/schema_source/any_cfn_resource.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/internal/schema_source/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/internal/utils/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/intrinsics/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/metrics/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/model/architecture.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/model/cloudformation.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/model/codedeploy.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/model/cognito.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/model/dynamodb.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/model/iot.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/model/log.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/model/naming.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/model/packagetype.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/model/s3.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/model/sns.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/model/sqs.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/model/api/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/model/capacity_provider/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/model/cfn_attributes/deletion_policy.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/model/cfn_attributes/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/model/connector/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/model/connector_profiles/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/model/eventsources/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/model/preferences/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/model/role_utils/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/model/s3_utils/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/model/stepfunctions/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/model/tags/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/open_api/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/parser/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/plugins/exceptions.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/plugins/api/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/plugins/application/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/plugins/globals/globals_plugin.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/plugins/globals/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/plugins/policies/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/policy_template_processor/exceptions.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/policy_template_processor/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/public/exceptions.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/public/intrinsics.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/public/models.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/public/open_api.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/public/parser.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/public/plugins.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/public/swagger.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/public/translator.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/public/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/public/sdk/parameter.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/public/sdk/resource.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/public/sdk/template.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/public/sdk/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/sdk/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/swagger/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/third_party/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/third_party/py27hash/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/translator/transform.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/translator/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/utils/constants.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/utils/traverse.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/utils/types.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/utils/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/validator/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/validator/sam_schema/definitions/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/model/eventsources/cloudwatchlogs.py,arquivo,,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
samtranslator/plugins/api/implicit_rest_api_plugin.py,arquivo,,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
samtranslator/translator/logical_id_generator.py,arquivo,,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
samtranslator/internal/utils/utils.py,arquivo,,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
samtranslator/model/xray_utils.py,arquivo,,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
samtranslator/plugins/__init__.py,arquivo,,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
samtranslator/internal/managed_policies.py,arquivo,,1,4,2,4,5,6,8.0,13.9316,0.5,6.9658,0.387,0.0046
samtranslator/policy_templates_data/__init__.py,arquivo,,1,3,2,4,4,6,4.7549,12.0,0.6667,8.0,0.4444,0.004
samtranslator/validator/sam_schema/__init__.py,arquivo,,1,3,2,4,4,6,4.7549,12.0,0.6667,8.0,0.4444,0.004
samtranslator/feature_toggle/dialup.py,arquivo,,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
samtranslator/metrics/metrics.py,arquivo,,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
samtranslator/translator/managed_policy_translator.py,arquivo,,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
samtranslator/model/route53.py,arquivo,,1,4,3,6,5,9,8.0,20.8974,0.75,15.673,0.8707,0.007
samtranslator/policy_template_processor/processor.py,arquivo,,2,4,3,4,6,7,10.0,18.0947,1.0,18.0947,1.0053,0.006
samtranslator/model/tags/resource_tagging.py,arquivo,,2,3,2,4,5,6,6.7549,13.9316,1.3333,18.5754,1.032,0.0046
samtranslator/utils/cfn_dynamic_references.py,arquivo,,2,5,2,5,7,7,13.6096,19.6515,1.0,19.6515,1.0917,0.0066
samtranslator/internal/intrinsics.py,arquivo,,2,5,4,5,7,9,13.6096,25.2662,1.0,25.2662,1.4037,0.0084
samtranslator/internal/schema_source/aws_serverless_application.py,arquivo,,1,3,4,8,4,12,4.7549,24.0,1.3333,32.0,1.7778,0.008
samtranslator/model/types.py,arquivo,,2,6,5,6,8,11,17.5098,33.0,1.0,33.0,1.8333,0.011
samtranslator/model/iam.py,arquivo,,1,12,6,12,13,18,43.0196,66.6079,0.5,33.304,1.8502,0.0222
samtranslator/model/capacity_provider/resources.py,arquivo,,1,7,6,12,8,18,19.6515,54.0,0.8571,46.2857,2.5714,0.018
samtranslator/model/update_policy.py,arquivo,,3,5,3,6,8,9,16.3645,27.0,1.8,48.6,2.7,0.009
samtranslator/plugins/api/default_definition_body_plugin.py,arquivo,,3,5,4,7,8,11,16.3645,33.0,2.1,69.3,3.85,0.011
samtranslator/plugins/policies/policy_templates_plugin.py,arquivo,,4,7,4,7,11,11,27.6515,38.0537,2.0,76.1075,4.2282,0.0127
samtranslator/model/events.py,arquivo,,3,10,5,10,13,15,37.9742,55.5066,1.5,83.2599,4.6255,0.0185
samtranslator/metrics/method_decorator.py,arquivo,,4,8,4,8,12,12,32.0,43.0196,2.0,86.0391,4.78,0.0143
samtranslator/validator/value_validator.py,arquivo,,4,8,5,8,12,13,32.0,46.6045,2.0,93.209,5.1783,0.0155
samtranslator/model/stepfunctions/resources.py,arquivo,,1,8,9,18,9,27,24.0,85.588,1.125,96.2865,5.3492,0.0285
samtranslator/model/preferences/deployment_preference.py,arquivo,,4,7,5,8,11,13,27.6515,44.9726,2.2857,102.7945,5.7108,0.015
samtranslator/yaml_helper.py,arquivo,,4,6,4,8,10,12,23.5098,39.8631,2.6667,106.3017,5.9056,0.0133
samtranslator/sdk/resource.py,arquivo,,4,8,5,9,12,14,32.0,50.1895,2.25,112.9263,6.2737,0.0167
samtranslator/plugins/api/implicit_http_api_plugin.py,arquivo,,4,8,6,9,12,15,32.0,53.7744,2.25,120.9925,6.7218,0.0179
samtranslator/parser/parser.py,arquivo,,4,10,6,10,14,16,41.2193,60.9177,2.0,121.8354,6.7686,0.0203
samtranslator/internal/schema_source/aws_serverless_simpletable.py,arquivo,,1,7,10,20,8,30,19.6515,90.0,1.4286,128.5714,7.1429,0.03
samtranslator/internal/schema_source/aws_serverless_layerversion.py,arquivo,,1,4,9,18,5,27,8.0,62.6921,2.25,141.0571,7.8365,0.0209
samtranslator/model/scheduler.py,arquivo,,1,2,8,16,3,24,2.0,38.0391,4.0,152.1564,8.4531,0.0127
samtranslator/internal/schema_source/aws_serverless_connector.py,arquivo,,1,4,10,20,5,30,8.0,69.6578,2.5,174.1446,9.6747,0.0232
samtranslator/intrinsics/resource_refs.py,arquivo,,4,10,8,12,14,20,41.2193,76.1471,2.4,182.753,10.1529,0.0254
samtranslator/model/exceptions.py,arquivo,,4,11,7,13,15,20,46.0537,78.1378,2.3636,184.6894,10.2605,0.026
samtranslator/internal/schema_source/common.py,arquivo,,2,6,8,16,8,24,17.5098,72.0,2.6667,192.0,10.6667,0.024
samtranslator/sdk/template.py,arquivo,,5,11,6,12,16,18,49.6634,72.0,2.7273,196.3636,10.9091,0.024
