arquivo,funcoes,cc_media,cc_max,cc_soma,pior_rank,pior_classe,pior_funcao,pior_linha_ini
samtranslator/feature_toggle/dialup.py,10,1.0,1,10,A,BaseDialup,__init__,8
samtranslator/internal/managed_policies.py,1,1.0,1,1,A,,get_bundled_managed_policy_map,8
samtranslator/model/iam.py,12,1.0,1,12,A,IAMRolePolicies,construct_assume_role_policy_for_service_principal,46
samtranslator/model/naming.py,2,1.0,1,2,A,GeneratedLogicalId,implicit_api,9
samtranslator/model/sqs.py,2,1.0,1,2,A,SQSQueuePolicies,sns_topic_send_message_role_policy,31
samtranslator/plugins/exceptions.py,2,1.0,1,2,A,InvalidPluginException,__init__,9
samtranslator/policy_template_processor/exceptions.py,3,1.0,1,3,A,TemplateNotFoundException,__init__,6
samtranslator/translator/transform.py,2,1.0,1,2,A,,transform,11
samtranslator/plugins/__init__.py,6,1.17,2,7,A,BasePlugin,name,40
samtranslator/internal/deprecation_control.py,4,1.25,2,5,A,,_make_message,24
samtranslator/model/eventsources/cloudwatchlogs.py,3,1.33,2,4,A,CloudWatchLogs,to_cloudformation,25
samtranslator/model/exceptions.py,23,1.39,4,32,A,InvalidDocumentException,metadata,47
samtranslator/internal/schema_source/common.py,4,1.5,2,6,A,,passthrough_prop,44
samtranslator/model/events.py,2,1.5,2,3,A,,generate_valid_target_id,25
samtranslator/plugins/api/implicit_rest_api_plugin.py,4,1.5,3,6,A,ImplicitRestApiPlugin,_process_api_events,38
samtranslator/policy_template_processor/processor.py,8,1.5,3,12,A,PolicyTemplatesProcessor,_is_valid_templates_dict,106
samtranslator/metrics/method_decorator.py,9,1.67,5,15,A,,_get_metric_name,43
samtranslator/metrics/metrics.py,15,1.67,4,25,A,CWMetricsPublisher,_flush_metrics,57
samtranslator/internal/utils/utils.py,2,2.0,3,4,A,,remove_none_values,7
samtranslator/model/xray_utils.py,1,2.0,2,2,A,,get_xray_managed_policy_name,4
samtranslator/translator/logical_id_generator.py,4,2.0,3,8,A,LogicalIdGenerator,get_hash,49
samtranslator/translator/managed_policy_translator.py,3,2.0,3,6,A,ManagedPolicyLoader,_load_policies_from_iam,18
samtranslator/validator/value_validator.py,11,2.09,6,23,B,_ResourcePropertyValueValidator,to_be_a,45
samtranslator/feature_toggle/feature_toggle.py,10,2.1,9,21,B,FeatureToggle,is_enabled,62
samtranslator/internal/schema_source/schema.py,8,2.12,5,17,A,,extend_with_cfn_schema,133
samtranslator/intrinsics/resource_refs.py,6,2.17,7,13,B,SupportedResourceReferences,add,16
samtranslator/sdk/resource.py,4,2.25,4,9,A,SamResource,valid,35
samtranslator/model/intrinsics.py,19,2.26,8,43,B,,get_logical_id_from_intrinsic,206
samtranslator/sdk/template.py,7,2.29,6,16,B,SamTemplate,iterate,25
samtranslator/plugins/api/implicit_http_api_plugin.py,5,2.4,6,12,B,ImplicitHttpApiPlugin,_process_api_events,36
