arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
samtranslator/region_configuration.py,funcao,is_apigw_edge_configuration_supported,3,5,3,5,8,8,16.3645,24.0,1.5,36.0,2.0,0.008
samtranslator/region_configuration.py,funcao,is_service_supported,4,5,5,8,9,13,19.6096,41.209,3.2,131.8689,7.326,0.0137
samtranslator/yaml_helper.py,funcao,yaml_parse,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/yaml_helper.py,funcao,intrinsics_multi_constructor,4,6,4,8,10,12,23.5098,39.8631,2.6667,106.3017,5.9056,0.0133
samtranslator/feature_toggle/dialup.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/feature_toggle/dialup.py,funcao,is_enabled,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
samtranslator/feature_toggle/dialup.py,funcao,__str__,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/feature_toggle/dialup.py,funcao,_get_account_percentile,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
samtranslator/feature_toggle/feature_toggle.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/feature_toggle/feature_toggle.py,funcao,_get_dialup,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
samtranslator/feature_toggle/feature_toggle.py,funcao,is_enabled,4,10,9,15,14,24,41.2193,91.3765,3.0,274.1296,15.2294,0.0305
samtranslator/feature_toggle/feature_toggle.py,funcao,config,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/internal/deprecation_control.py,funcao,_make_message,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/internal/deprecation_control.py,funcao,deprecated,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/internal/intrinsics.py,funcao,resolve_string_parameter_in_resource,2,5,4,5,7,9,13.6096,25.2662,1.0,25.2662,1.4037,0.0084
samtranslator/internal/managed_policies.py,funcao,get_bundled_managed_policy_map,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/internal/schema_source/common.py,funcao,get_prop,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/internal/schema_source/common.py,funcao,passthrough_prop,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/internal/schema_source/common.py,funcao,_get_prop,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/internal/schema_source/common.py,funcao,__getattribute__,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/internal/schema_source/schema.py,funcao,get_schema,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/internal/schema_source/schema.py,funcao,json_dumps,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
samtranslator/internal/schema_source/schema.py,funcao,_replace_in_dict,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
samtranslator/internal/schema_source/schema.py,funcao,_deep_get,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/internal/schema_source/schema.py,funcao,_add_embedded_connectors,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/internal/schema_source/schema.py,funcao,extend_with_cfn_schema,2,3,2,4,5,6,6.7549,13.9316,1.3333,18.5754,1.032,0.0046
samtranslator/internal/schema_source/schema.py,funcao,main,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/internal/utils/utils.py,funcao,remove_none_values,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
samtranslator/internal/utils/utils.py,funcao,passthrough_value,0,0,0,0,0,0,0,0,0,0,0,0
samtranslator/intrinsics/actions.py,funcao,_get_parameter_value,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
samtranslator/intrinsics/actions.py,funcao,resolve_parameter_refs,5,19,12,19,24,31,92.3203,142.1338,2.5,355.3346,19.7408,0.0474
samtranslator/intrinsics/actions.py,funcao,resolve_resource_refs,3,6,4,6,9,10,20.2647,31.6993,1.5,47.5489,2.6416,0.0106
samtranslator/intrinsics/actions.py,funcao,resolve_resource_id_refs,3,6,4,6,9,10,20.2647,31.6993,1.5,47.5489,2.6416,0.0106
samtranslator/intrinsics/actions.py,funcao,can_handle,3,7,3,7,10,10,24.4064,33.2193,1.5,49.8289,2.7683,0.0111
