arquivo,mi,rank_mi
samtranslator/model/sam_resources.py,0.0,C
samtranslator/model/api/api_generator.py,0.0,C
samtranslator/model/eventsources/push.py,1.8011,C
samtranslator/swagger/swagger.py,11.5834,B
samtranslator/model/eventsources/pull.py,13.9771,B
samtranslator/internal/schema_source/aws_serverless_function.py,16.7924,B
samtranslator/model/apigateway.py,26.0158,A
samtranslator/internal/schema_source/aws_serverless_api.py,26.7805,A
samtranslator/utils/py27hash_fix.py,26.963,A
samtranslator/internal/schema_source/aws_serverless_statemachine.py,27.1205,A
samtranslator/model/__init__.py,29.0673,A
samtranslator/model/lambda_.py,35.2544,A
samtranslator/internal/model/appsync.py,35.4205,A
samtranslator/model/stepfunctions/generators.py,35.6077,A
samtranslator/model/api/apiv2_generator.py,36.4612,A
samtranslator/model/api/http_api_generator.py,39.0715,A
samtranslator/internal/schema_source/aws_serverless_httpapi.py,39.7594,A
samtranslator/model/api/websocket_api_generator.py,40.1835,A
samtranslator/intrinsics/actions.py,40.2215,A
samtranslator/open_api/open_api.py,41.2061,A
samtranslator/model/apigatewayv2.py,43.6446,A
samtranslator/translator/translator.py,43.9373,A
samtranslator/plugins/api/implicit_api_plugin.py,44.4139,A
samtranslator/plugins/application/serverless_app_plugin.py,47.4735,A
samtranslator/internal/schema_source/aws_serverless_websocketapi.py,48.0271,A
samtranslator/internal/schema_source/aws_serverless_graphqlapi.py,48.1225,A
samtranslator/model/stepfunctions/events.py,49.0402,A
samtranslator/model/stepfunctions/resources.py,51.1535,A
samtranslator/internal/schema_source/aws_serverless_simpletable.py,51.9732,A
samtranslator/internal/schema_source/aws_serverless_layerversion.py,52.574,A
samtranslator/validator/validator.py,53.0201,A
samtranslator/model/preferences/deployment_preference_collection.py,53.9845,A
samtranslator/model/connector/connector.py,54.2526,A
samtranslator/plugins/globals/globals.py,54.9247,A
samtranslator/plugins/__init__.py,55.2125,A
samtranslator/model/scheduler.py,55.9674,A
samtranslator/model/iam.py,56.1845,A
samtranslator/intrinsics/resolver.py,56.6033,A
samtranslator/model/eventsources/scheduler.py,56.6394,A
samtranslator/internal/schema_source/aws_serverless_application.py,58.9775,A
samtranslator/open_api/base_editor.py,59.1011,A
samtranslator/policy_template_processor/processor.py,60.3534,A
samtranslator/internal/schema_source/aws_serverless_connector.py,60.5189,A
samtranslator/model/capacity_provider/generators.py,60.6514,A
samtranslator/model/intrinsics.py,60.7949,A
samtranslator/third_party/py27hash/hash.py,61.1731,A
samtranslator/plugins/sam_plugins.py,61.527,A
samtranslator/feature_toggle/feature_toggle.py,63.3289,A
samtranslator/internal/schema_source/schema.py,63.418,A
samtranslator/policy_template_processor/template.py,63.7713,A
samtranslator/model/exceptions.py,64.9806,A
samtranslator/model/resource_policies.py,65.5677,A
samtranslator/model/route53.py,66.3227,A
samtranslator/internal/intrinsics.py,66.9245,A
samtranslator/model/eventbridge_utils.py,68.1444,A
